A.P56.1	A.P.56N.1
A.P56.2	A.P.56N.2
A.P56.3	A.P.56N.3
A.P67.1	A.P.67N.1
A.P67.2	A.P.67N.2
A.P67.3	A.P.67N.3
B.P56.1	B.P.56N.1
B.P56.2	B.P.56N.2
B.P56.3	B.P.56N.3
B.P67.1	B.P.67N.1
B.P67.2	B.P.67N.2
B.P67.4	B.P.67N.3
D.P56.2	D.P.56N.1
D.P56.3	D.P.56N.2
D.P56.4	D.P.56N.3
D.P67.1	D.P.67N.1
D.P67.2	D.P.67N.2
D.P67.3	D.P.67N.3
