ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
Effect of light quality in spruce and pine,A-S67-4,Spruce ecotype 67 (latitude) - light condition A - replicate 4,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_105_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S56-4,Spruce ecotype 56 (latitude) - light condition B - replicate 4,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_106_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S56-4,Spruce ecotype 56 (latitude) - light condition B - replicate 4,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_106_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S56-5,Spruce ecotype 56 (latitude) - light condition B - replicate 5,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_107_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S56-5,Spruce ecotype 56 (latitude) - light condition B - replicate 5,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_107_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S56-6,Spruce ecotype 56 (latitude) - light condition B - replicate 6,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_108_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S56-6,Spruce ecotype 56 (latitude) - light condition B - replicate 6,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_108_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-4,Spruce ecotype 67 (latitude) - light condition B - replicate 4,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_109_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-4,Spruce ecotype 67 (latitude) - light condition B - replicate 4,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_109_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-4,Spruce ecotype 67 (latitude) - light condition D - replicate 4,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_110_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-4,Spruce ecotype 67 (latitude) - light condition D - replicate 4,2016-01-12T12:00:00,4_160112_BC8532ANXX_P3462_110_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S56-2,Spruce ecotype 56 (latitude) - light condition A - replicate 2,2015-10-06T12:00:00,5_151006_AC7JVCANXX_P2254_138_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S56-2,Spruce ecotype 56 (latitude) - light condition A - replicate 2,2015-10-06T12:00:00,5_151006_AC7JVCANXX_P2254_138_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-1,Spruce ecotype 67 (latitude) - light condition A - replicate 1,2015-10-06T12:00:00,5_151006_AC7JVCANXX_P2254_146_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-1,Spruce ecotype 67 (latitude) - light condition A - replicate 1,2015-10-06T12:00:00,5_151006_AC7JVCANXX_P2254_146_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
